file,file_name,gloss,smplx_shape,seq_len_T,motion_dim_D,duration_at_20fps_sec,keys
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00384.pkl,00384.pkl,able,"(72, 182)",72,182,3.6,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00412.pkl,00412.pkl,about,"(36, 182)",36,182,1.8,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00414.pkl,00414.pkl,about,"(54, 182)",54,182,2.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00415.pkl,00415.pkl,about,"(40, 182)",40,182,2.0,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00416.pkl,00416.pkl,about,"(98, 182)",98,182,4.9,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00419.pkl,00419.pkl,about,"(55, 182)",55,182,2.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00421.pkl,00421.pkl,about,"(29, 182)",29,182,1.45,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00422.pkl,00422.pkl,about,"(57, 182)",57,182,2.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00423.pkl,00423.pkl,about,"(63, 182)",63,182,3.15,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00424.pkl,00424.pkl,about,"(59, 182)",59,182,2.95,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00425.pkl,00425.pkl,about,"(53, 182)",53,182,2.65,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00426.pkl,00426.pkl,about,"(83, 182)",83,182,4.15,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00429.pkl,00429.pkl,above,"(15, 182)",15,182,0.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00430.pkl,00430.pkl,above,"(45, 182)",45,182,2.25,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00431.pkl,00431.pkl,above,"(103, 182)",103,182,5.15,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00432.pkl,00432.pkl,above,"(55, 182)",55,182,2.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00433.pkl,00433.pkl,above,"(68, 182)",68,182,3.4,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00434.pkl,00434.pkl,above,"(77, 182)",77,182,3.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00435.pkl,00435.pkl,above,"(87, 182)",87,182,4.35,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00581.pkl,00581.pkl,accent,"(37, 182)",37,182,1.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00583.pkl,00583.pkl,accent,"(33, 182)",33,182,1.65,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00584.pkl,00584.pkl,accent,"(37, 182)",37,182,1.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00585.pkl,00585.pkl,accent,"(33, 182)",33,182,1.65,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00586.pkl,00586.pkl,accent,"(34, 182)",34,182,1.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00587.pkl,00587.pkl,accent,"(27, 182)",27,182,1.35,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00592.pkl,00592.pkl,accept,"(125, 182)",125,182,6.25,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00593.pkl,00593.pkl,accept,"(29, 182)",29,182,1.45,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00594.pkl,00594.pkl,accept,"(32, 182)",32,182,1.6,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00597.pkl,00597.pkl,accept,"(100, 182)",100,182,5.0,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00598.pkl,00598.pkl,accept,"(55, 182)",55,182,2.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00599.pkl,00599.pkl,accept,"(34, 182)",34,182,1.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00600.pkl,00600.pkl,accept,"(26, 182)",26,182,1.3,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00601.pkl,00601.pkl,accept,"(46, 182)",46,182,2.3,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00602.pkl,00602.pkl,accept,"(57, 182)",57,182,2.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00618.pkl,00618.pkl,accident,"(12, 182)",12,182,0.6,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00623.pkl,00623.pkl,accident,"(104, 182)",104,182,5.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00624.pkl,00624.pkl,accident,"(93, 182)",93,182,4.65,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00625.pkl,00625.pkl,accident,"(35, 182)",35,182,1.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00626.pkl,00626.pkl,accident,"(46, 182)",46,182,2.3,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00627.pkl,00627.pkl,accident,"(28, 182)",28,182,1.4,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00628.pkl,00628.pkl,accident,"(31, 182)",31,182,1.55,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00629.pkl,00629.pkl,accident,"(98, 182)",98,182,4.9,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00630.pkl,00630.pkl,accident,"(54, 182)",54,182,2.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00631.pkl,00631.pkl,accident,"(64, 182)",64,182,3.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00632.pkl,00632.pkl,accident,"(48, 182)",48,182,2.4,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00633.pkl,00633.pkl,accident,"(23, 182)",23,182,1.15,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00634.pkl,00634.pkl,accident,"(35, 182)",35,182,1.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00635.pkl,00635.pkl,accident,"(83, 182)",83,182,4.15,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00636.pkl,00636.pkl,accident,"(70, 182)",70,182,3.5,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00638.pkl,00638.pkl,accident,"(51, 182)",51,182,2.55,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00639.pkl,00639.pkl,accident,"(89, 182)",89,182,4.45,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00662.pkl,00662.pkl,accomplish,"(40, 182)",40,182,2.0,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00663.pkl,00663.pkl,accomplish,"(117, 182)",117,182,5.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00664.pkl,00664.pkl,accomplish,"(100, 182)",100,182,5.0,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00665.pkl,00665.pkl,accomplish,"(28, 182)",28,182,1.4,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00666.pkl,00666.pkl,accomplish,"(32, 182)",32,182,1.6,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00667.pkl,00667.pkl,accomplish,"(44, 182)",44,182,2.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00668.pkl,00668.pkl,accomplish,"(67, 182)",67,182,3.35,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00689.pkl,00689.pkl,accountant,"(75, 182)",75,182,3.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00690.pkl,00690.pkl,accountant,"(111, 182)",111,182,5.55,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00691.pkl,00691.pkl,accountant,"(50, 182)",50,182,2.5,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00693.pkl,00693.pkl,accountant,"(68, 182)",68,182,3.4,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00694.pkl,00694.pkl,accountant,"(89, 182)",89,182,4.45,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00829.pkl,00829.pkl,across,"(18, 182)",18,182,0.9,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00832.pkl,00832.pkl,across,"(69, 182)",69,182,3.45,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00834.pkl,00834.pkl,across,"(76, 182)",76,182,3.8,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00835.pkl,00835.pkl,across,"(38, 182)",38,182,1.9,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00836.pkl,00836.pkl,across,"(37, 182)",37,182,1.85,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00838.pkl,00838.pkl,across,"(56, 182)",56,182,2.8,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00839.pkl,00839.pkl,across,"(44, 182)",44,182,2.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00840.pkl,00840.pkl,across,"(71, 182)",71,182,3.55,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00841.pkl,00841.pkl,across,"(54, 182)",54,182,2.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00842.pkl,00842.pkl,across,"(75, 182)",75,182,3.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00846.pkl,00846.pkl,act,"(35, 182)",35,182,1.75,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00847.pkl,00847.pkl,act,"(96, 182)",96,182,4.8,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00849.pkl,00849.pkl,act,"(74, 182)",74,182,3.7,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00850.pkl,00850.pkl,act,"(70, 182)",70,182,3.5,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00851.pkl,00851.pkl,act,"(66, 182)",66,182,3.3,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00853.pkl,00853.pkl,action,"(84, 182)",84,182,4.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00854.pkl,00854.pkl,action,"(91, 182)",91,182,4.55,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00855.pkl,00855.pkl,action,"(56, 182)",56,182,2.8,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00856.pkl,00856.pkl,action,"(42, 182)",42,182,2.1,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00857.pkl,00857.pkl,action,"(62, 182)",62,182,3.1,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00858.pkl,00858.pkl,action,"(84, 182)",84,182,4.2,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
/home/image/Desktop/SignAvatar_Generative_Project/data/annotations/wlasl_pkls_cropFalse_defult_shape/00867.pkl,00867.pkl,active,"(18, 182)",18,182,0.9,left_valid|right_valid|total_valid_index|2d|pred_2d|smplx|unsmooth_smplx|bb2img_trans|focal|princpt
