gloss,num_samples,min_T,max_T,mean_T,median_T,mean_duration_at_20fps_sec
against,7,38,94,64.14286041259766,56.0,3.2071430683135986
age,10,28,74,46.79999923706055,44.0,2.3399999141693115
agenda,7,37,81,56.71428680419922,59.0,2.835714340209961
ago,12,25,83,46.75,44.0,2.3375000953674316
agree,8,32,103,60.125,56.5,3.0062499046325684
agreement,5,37,95,59.400001525878906,58.0,2.9700000286102295
ahead,8,43,100,63.75,58.0,3.1875
aid,7,27,95,58.42856979370117,58.0,2.9214284420013428
aim,8,35,114,69.25,62.0,3.4625000953674316
airplane,9,23,98,60.33333206176758,52.0,3.0166666507720947
alarm,8,30,84,59.25,60.0,2.9625000953674316
alcohol,8,26,104,64.0,66.0,3.200000047683716
algebra,7,19,116,53.42856979370117,43.0,2.6714284420013428
all,15,25,121,62.66666793823242,62.0,3.133333444595337
all day,6,8,74,43.0,39.5,2.1500000953674316
allergy,8,38,119,68.875,60.0,3.4437499046325684
alligator,7,31,106,67.28571319580078,73.0,3.364285707473755
allow,8,34,79,61.0,62.0,3.049999952316284
almost,8,12,94,61.75,62.0,3.0875000953674316
alone,10,40,99,64.69999694824219,62.0,3.234999895095825
alphabet,7,21,113,62.57143020629883,65.0,3.1285715103149414
already,10,26,92,56.20000076293945,48.5,2.809999942779541
also,9,27,96,56.66666793823242,60.0,2.8333334922790527
always,12,54,95,72.66666412353516,69.5,3.633333206176758
amazing,5,26,83,52.0,53.0,2.5999999046325684
america,9,26,174,78.66666412353516,67.0,3.933333158493042
amputate,6,18,141,57.33333206176758,41.0,2.866666555404663
analyze,10,34,96,68.9000015258789,73.0,3.445000171661377
anatomy,7,62,99,79.14286041259766,78.0,3.9571430683135986
and,9,37,84,60.33333206176758,62.0,3.0166666507720947
angel,10,24,72,50.29999923706055,51.5,2.5149998664855957
angle,6,38,64,51.0,48.5,2.549999952316284
angry,8,27,88,54.875,51.5,2.7437500953674316
animal,10,47,131,75.69999694824219,72.0,3.7849998474121094
anniversary,9,23,98,58.55555725097656,58.0,2.9277777671813965
announce,8,33,98,66.375,65.5,3.3187499046325684
annoy,6,37,114,71.0,67.5,3.549999952316284
another,9,32,83,54.0,55.0,2.700000047683716
answer,10,13,107,57.900001525878906,56.5,2.8949999809265137
any,8,24,68,58.0,64.0,2.9000000953674316
anyway,7,28,89,56.28571319580078,47.0,2.8142857551574707
apart,7,22,92,58.42856979370117,63.0,2.9214284420013428
apartment,9,23,122,65.22222137451172,59.0,3.26111102104187
apostrophe,6,28,114,50.83333206176758,41.0,2.5416665077209473
appear,9,15,108,57.44444274902344,62.0,2.8722221851348877
appetite,8,26,131,71.375,58.5,3.5687499046325684
apple,11,8,108,62.90909194946289,64.0,3.1454546451568604
appointment,9,35,182,85.11111450195312,81.0,4.255555629730225
appreciate,8,21,122,67.125,65.0,3.356250047683716
approach,4,4,105,51.0,47.5,2.549999952316284
appropriate,9,23,96,59.66666793823242,60.0,2.9833333492279053
approve,15,20,141,66.4000015258789,63.0,3.320000171661377
april,8,50,195,87.0,63.5,4.349999904632568
archery,8,29,85,55.375,54.0,2.768749952316284
area,10,25,94,62.79999923706055,68.5,3.1399998664855957
argue,13,34,101,61.846153259277344,65.0,3.0923075675964355
arizona,5,37,77,54.79999923706055,52.0,2.740000009536743
arm,8,31,96,57.5,53.0,2.875
army,8,27,89,61.5,64.5,3.075000047683716
around,7,45,96,71.0,58.0,3.549999952316284
arrest,9,21,74,38.88888931274414,32.0,1.9444444179534912
arrive,12,22,108,62.41666793823242,61.0,3.120833396911621
arrogant,8,18,119,70.375,75.0,3.518749952316284
art,9,33,107,63.44444274902344,55.0,3.172222137451172
article,7,14,167,69.0,55.0,3.450000047683716
artist,8,39,100,71.25,72.5,3.5625
asia,8,39,98,61.625,60.5,3.081249952316284
ask,9,27,83,42.11111068725586,37.0,2.105555534362793
asl,8,32,85,60.0,62.5,3.0
assist,6,27,66,51.16666793823242,53.5,2.558333396911621
assistant,8,34,102,61.5,56.5,3.075000047683716
assume,6,28,133,66.0,65.0,3.299999952316284
attend,6,39,89,58.66666793823242,51.5,2.933333396911621
attention,8,33,97,61.25,48.5,3.0625
attitude,10,8,91,55.099998474121094,52.5,2.754999876022339
attorney,7,46,101,70.85713958740234,63.0,3.5428569316864014
attract,8,31,85,54.0,50.5,2.700000047683716
auction,7,48,138,72.28571319580078,60.0,3.614285707473755
audience,9,25,112,48.66666793823242,30.0,2.433333396911621
audiologist,6,58,113,80.5,74.0,4.025000095367432
audiology,5,53,77,62.0,58.0,3.0999999046325684
august,6,46,123,70.0,66.0,3.5
aunt,9,46,96,68.22222137451172,65.0,3.4111111164093018
australia,10,27,98,53.70000076293945,52.0,2.684999942779541
austria,4,35,110,63.75,55.0,3.1875
author,7,41,113,71.28571319580078,65.0,3.5642857551574707
authority,7,29,77,53.71428680419922,43.0,2.6857142448425293
autumn,8,21,97,63.25,59.0,3.1624999046325684
available,5,28,80,50.400001525878906,44.0,2.5199999809265137
